review_id,is_good_rating
SiQGQ__poSeG1oKHVem30g,1
rFZPxXnZZuEfO5Cj8SprGw,1
DU9CeH0kUfN8LO7V02fxaA,1
dJgLik5M3vvHYHDkIW62qA,1
fi9Pbb8Z4bzzlHaxXGEJTg,1
uTqh1QYTsbZWQzEFN9GJpw,1
_3r-ySAFPD-khtsLnnXSvg,1
23WAFia8X-oKzJ3ITadiMQ,1
A2hyFWfQCN_un9RMNidi-g,1
POw-zNBEj28okTFmScK9lg,1
9xWNjYzFUCLhYIJPAt-W_A,1
mWk15zO4ZYust8TRS15dDw,1
tQ1mXTiVlmc7Jsmb28Ez6g,1
cDV5nJ3FFK-VWjoyWGip5g,1
HVyn7RTrEePqlKF6zMoOMg,1
lvi7N8cT1Rc7Z1t8gq_p3w,1
PF0mqA6C8IscVcPvMlFHeQ,1
uMn6vjVmjrG2sYOFZ1IokA,1
Iz0ApOpP-D0QbJQOyma87A,1
4elPJekrv4V3tRnLdRrGpg,1
B2QZ-XuzNTy1WYU2X4XftA,1
lyQUthwM0qaNQa5_9Bxcfg,1
bQF44LWb8BZsGZwRimYUCA,1
Cdt8FqNUYN-yZKxaiA0OUg,1
mWegB-dcaxBVi8P9e46y-Q,1
QJYdYAUoaVIRjzhvVSBxKQ,1
jsDQimitLNdg8uy7wyhMVw,1
yBgCb55u2gK-zHGUhylEjw,1
WOMK-rg1syqEQhzhg-DMLw,1
unwcbIydDu7vAQ24RmIgLg,1
1Nxtu46OHZ6peDBg4UmcHg,1
PCa0iEhjwGgVYtvFQ2pxlA,1
F7q6ljkMQWrA_9DwOHWVsw,1
aWX_0HR9pC29e1BKJuykrg,1
6nkse6zwQfy1nhEyHXDUwg,1
OPIrqbCgkBe96S0GbnuKlA,1
vGVZtlbu0mLFXRLt3MaV2A,1
n4jEEWhXJMbyVAFD7X5hNA,1
jMNxS2suTGWTiUfHJkTixQ,1
rSj8Oug9VJY08Qa9wFi_YQ,1
QagUpFGogtwfouQD2YWNFA,1
Ie1JpqpO0j_-m7U4PfTOuQ,1
wiyfRAoYZ7fMbmdwa4I3OQ,1
zXubBDLmXKwI76jE3cSxBQ,1
-OzxH4k-MWNZaW3OwwdqDw,1
IhhSvg5kzVjuE7otvre3uA,1
KtITb3s1eczO7dESvI-rMg,1
2EIuCGb6pfm4RKGJMipQPg,1
va8b2apcINVwx5Fp3_r1uw,1
ufxOMCmyK-C_0ex-slH9jQ,1
M3Vr0SjaV_I8RPVP69hB_w,1
xYq_gTUIerTdTokDE9trOQ,1
nzxZiVPEHa5t-K_IFm0tGw,1
o_w7A_k6qmHiuysFsbqBow,1
2wjmBkzNzODE61f6Dmi0wQ,1
5kXJTmQz5FFPSCbwPkwO4w,1
gK-OuNU-ASJCzLy9qM2kKw,1
Q5aMDSC1CyONlzxj52_dDw,1
WtnRMietv81sSY__-Rq80g,1
auy1Gx9H-i6flS86rPJPYw,1
7Y8D-k74ITdmwYThn2pFWQ,1
SGSeWDUoU7UEGV57wcXpxw,1
6NCxHMuUoTItauOvxZfvFQ,1
BusAM7XfOlo9QaARJ5swCg,1
NHFy4_-MN1IENZCKZjDBnQ,1
iWggjCSViWlv7XImxmcBZA,1
2ZWp-dSxxxzWsvV1Z_un4A,1
K9LnZqDmmdbnjwMQhq_p0Q,1
IpD74g8YyKWs03HNk8Owkg,1
hcvYI9cWy8kRV5g5xSYFaQ,1
oc2v4anMnofYVyMizxcWRA,1
gRawSEsuCUsizlzmZwAMXw,1
BulbGd7ONZHyWn_mc1hE6g,1
4mYW58FNsg1lL61MjAG-8g,1
KWq_8FvJ5Dfrb8tjJLZMIw,1
VNjlobJyJfIzGyY_P8ZCjQ,1
XvP0nFc0evYUU1owIJVlsA,1
F6rQnd9Efz5wAFDnBInLwg,1
D5sIHcPpkqdlWI4kVfGjoA,1
EtlbJKwG9iDAdOsqY4urcw,1
O1vwXIdCpq_AlyQrZb9A5A,1
ql1qHRqFLK0QDMSNd3ESbw,1
hULqJSLMZ4dAMycERg6akA,1
2giFlohKFCVkdbjNzXVcdw,1
pb50IQokv_PEhOK_5oy5qw,1
INxOKCrnfihlfEmednv8AA,1
xTOFKDhWkjXfztmzvTxVYw,1
zcec5G2DZAasQj-zkvCXIA,1
VHtGl83JUZrjR_UdUvQSGg,1
2-ZFmE4L9-FhIjscsDNdwg,1
VHFyS4H9CRRtyzL1Ke-3QQ,1
niX884t6JjpKpWmPCrdNjg,1
8Kjj_T1dxgCZ1-h8AAFmbA,1
qCE0JzZRCEv9QqFHZqD43w,1
cIxDEXGhw2rwWds7azPuXw,1
XN7P3mbshH-xShiDrmuFRw,1
I9cpTP0WgaCRRSpP2FnuuA,1
wdSm16Vu6lbqrlAAqROqlg,1
ciYBCDRSt8GTo1LQJoGhzg,1
yVFcndj6D_ov9gm3nivdVA,1
vp06E74uVmphzd5-Vb8SqQ,1
q7OkXEboI4x0LTl4-EkFyA,1
qRnAwBD3IlDRqsYi9SRexg,1
k_Rp1Bl8R3fmt33H_w4jzg,1
7gCRHQ1r5GvkvPhjdR-Z1w,1
ng0xvZd4PJWHrEdS3gfeIA,1
OdfMs3Opnb-p2C7D6MPThg,1
vFtR0c9XkITfNzbxlEJRzA,1
CkL2LoT1ta-3iJj7luy7tw,1
fjKqsOQDTEwsRQmssD19SQ,1
5o7vt00rxFl2BdT6XDjx-Q,1
Bu8TCQ3UgMYEfTS3742ySA,1
TPHNzF2qlce5TVnZRGeVXQ,1
DhciB1SYOW3JplrYfpj7gA,1
W9I5LVHYKW_kY8bM4JSjQQ,1
uZuM8BPxcQf3fA_8Ena3QQ,1
pp97qepjje4SMxu1NXXy3Q,1
ML_kuMACEUAJuCDxu3056g,1
tzBlyBWhks33ShZwkcsB7A,1
KvCtLhZZnKroD7UBc1pdZw,1
2RZRY5tZH5YBXnLk_YgXIg,1
MbGCIC4BoHCorHmfkuZqgw,1
wAVXX040ob-Cbb9EUi_GRQ,1
61JdvBVIr4hncRRfYXOgWw,1
wO7uUxy66WbVQTTtLHuJ8w,1
KgGP0dlX3PJMn6q-e-FNXg,1
